Year,Trip Date,Sorter,Property,Site name,Site,Grid,Design,2001/2002,2011/2012,TREATMENTS,Plot,Ref,Dune Zone,Species,Viable,Non-viable,Evidence of predation,Estimate of spinifex husks,I.D. Confidence,Total (excluding spinifex husks),Total (incl. spin husks),Notes
2017,20/5/2017,Gaby,Ethabuka Reserve,Main Camp,MC,SK,Local,burnt,unburnt,Burnt/unburnt,1,,Swale,Aristida sp.,1,1,,,1,2,2,
2017,20/5/2017,Gaby,Ethabuka Reserve,Main Camp,MC,SK,Local,burnt,unburnt,Burnt/unburnt,1,,Swale,Ptilotus polystachyus,1,1,,,1,2,2,
2017,20/5/2017,Gaby,Ethabuka Reserve,Main Camp,MC,SK,Local,burnt,unburnt,Burnt/unburnt,1,,Swale,Plagiosetum refractum,,1,,,1,1,1,Paractaenum refractum
2017,20/5/2017,Gaby,Ethabuka Reserve,Main Camp,MC,SK,Local,burnt,unburnt,Burnt/unburnt,1,,Swale,Triodia basedowii,,,,7,1,0,7,
2017,20/5/2017,Gaby,Ethabuka Reserve,Main Camp,MC,SK,Local,burnt,unburnt,Burnt/unburnt,2,,Swale,Trachymene glaucifolia,2,4,,,1,6,6,
2017,20/5/2017,Gaby,Ethabuka Reserve,Main Camp,MC,SK,Local,burnt,unburnt,Burnt/unburnt,2,,Swale,Aristida sp.,4,7,,,1,11,11,
2017,20/5/2017,Gaby,Ethabuka Reserve,Main Camp,MC,SK,Local,burnt,unburnt,Burnt/unburnt,2,,Swale,Sclerolaena sp. A,1,1,,,1,2,2,
2017,20/5/2017,Gaby,Ethabuka Reserve,Main Camp,MC,SK,Local,burnt,unburnt,Burnt/unburnt,2,,Swale,Ptilotus polystachyus,1,6,,,1,7,7,
2017,20/5/2017,Gaby,Ethabuka Reserve,Main Camp,MC,SK,Local,burnt,unburnt,Burnt/unburnt,2,,Swale,Plagiosetum refractum,,9,,,1,9,9,Paractaenum refractum
2017,20/5/2017,Gaby,Ethabuka Reserve,Main Camp,MC,SK,Local,burnt,unburnt,Burnt/unburnt,2,,Swale,Triodia basedowii,,,,4,1,0,4,
2017,20/5/2017,Gaby,Ethabuka Reserve,Main Camp,MC,SK,Local,burnt,unburnt,Burnt/unburnt,2,,Swale,Cenchrus ciliaris,,2,,,2,2,2,
2017,20/5/2017,Gaby,Ethabuka Reserve,Main Camp,MC,SK,Local,burnt,unburnt,Burnt/unburnt,2,,Swale,Boerhavia coccinea,1,,,,2,1,1,
2017,20/5/2017,Gaby,Ethabuka Reserve,Main Camp,MC,SK,Local,burnt,unburnt,Burnt/unburnt,3,,Swale,Triodia basedowii,,,,3,1,0,3,
2017,20/5/2017,Gaby,Ethabuka Reserve,Main Camp,MC,SK,Local,burnt,unburnt,Burnt/unburnt,3,,Swale,Aristida sp.,1,1,,,1,2,2,
